type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,AC:0B:FB:26:85:8D,-87,11,1,0,1,1,1,0,0,0,0,-98,0,6,1,16172149,0,110,0,0,16.3711,384,[110 96 6 0 0 0 0 0 0 0 0 0 -4 13 2 12 2 8 0 8 3 9 -2 14 2 10 2 6 2 8 -6 14 1 11 0 15 -3 11 3 8 -1 12 2 8 -9 7 -6 10 -3 7 -1 6 -1 8 1 11 -6 9 -3 8 -6 11 -6 9 0 0 1 12 -1 9 -7 11 -3 8 1 9 -2 7 3 13 -1 8 0 4 -1 9 4 8 0 8 2 13 0 10 2 9 -1 11 5 5 2 11 -3 13 1 11 -3 11 5 12 -2 6 -3 13 -2 12 0 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-87,11,1,0,1,1,1,0,0,0,0,-98,0,6,1,16183315,0,110,0,0,16.3823,384,[110 96 6 0 0 0 0 0 0 0 0 0 -7 5 -16 1 -13 2 -9 6 -11 5 -11 7 -17 4 -7 0 -7 -2 -9 1 -9 6 -10 1 -9 2 -8 6 -7 0 -8 4 -13 0 -9 -2 -7 9 -9 7 -7 4 -10 6 -13 3 -10 7 -11 8 -8 1 0 0 -9 11 -5 12 -5 7 -2 8 -4 5 -3 12 -2 12 -4 8 -1 13 -2 8 -1 9 -1 10 -6 12 -2 9 4 16 1 14 0 9 4 10 -1 9 4 10 2 10 1 8 4 10 3 7 8 12 4 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-87,11,1,0,1,1,1,0,0,0,0,-98,0,6,1,16194524,0,110,0,0,16.3935,384,[110 96 6 0 0 0 0 0 0 0 0 0 7 0 6 0 7 8 7 2 13 4 7 11 12 7 10 1 3 4 4 7 8 6 4 5 12 9 10 10 12 3 6 6 3 7 3 11 9 8 8 6 10 11 2 10 3 12 10 9 7 8 2 6 0 0 4 7 9 4 4 4 8 4 4 5 7 2 11 3 1 1 11 6 5 12 8 4 7 6 4 4 6 5 8 5 7 -2 16 5 11 3 7 3 5 5 10 7 6 9 9 6 7 3 7 6 7 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-88,11,1,0,1,1,1,0,0,0,0,-98,0,6,1,16204314,0,110,0,0,16.4033,384,[110 96 6 0 0 0 0 0 0 0 0 0 3 9 3 13 0 8 4 7 -4 8 -3 9 -3 12 1 9 -1 13 -3 8 -4 6 1 9 7 15 -1 11 5 9 -1 10 5 12 2 7 4 12 -1 11 -7 10 -2 11 -1 11 -4 12 0 13 -2 10 0 0 -1 12 2 11 -1 8 1 8 3 11 0 6 -1 13 0 9 3 6 4 6 4 11 -1 2 0 9 0 6 -2 11 5 9 6 7 4 9 3 10 3 6 7 13 -1 6 2 6 2 8 -2 8 3 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-87,11,1,0,1,1,1,0,0,0,0,-98,0,6,1,16215228,0,110,0,0,16.4142,384,[110 96 6 0 0 0 0 0 0 0 0 0 -10 -9 -7 -5 -10 -7 -9 -7 -7 -8 -6 -3 -7 -9 -12 -10 -3 -12 -6 -8 -5 -15 -7 -11 -11 -11 -5 -10 -9 -10 -5 -11 -8 -13 -8 -9 -2 -8 -10 -16 -3 -10 -4 -11 -8 -11 -5 -12 -1 -9 -8 -5 0 0 -11 -12 -8 -8 -6 -11 -11 -15 -7 -16 -8 -10 -8 -9 -7 -3 -5 -6 -3 -2 -8 -7 -6 -10 -10 -6 -7 -12 -13 -8 -10 -7 -13 -6 -12 -8 -9 -12 -11 -9 -3 -9 -9 -8 -13 -8 -8 -8 -10 -10 -7 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-87,11,1,0,1,1,1,0,0,0,0,-98,0,6,1,16228722,0,110,0,0,16.4278,384,[110 96 6 0 0 0 0 0 0 0 0 0 -8 -5 -10 -5 -14 2 -11 -3 -12 -2 -15 -6 -13 -6 -13 -8 -6 -5 -13 -5 -13 -9 -11 -4 -10 -8 -10 -8 -6 -4 -15 -5 -8 -3 -5 -12 -8 -7 -8 -7 -10 -11 -9 -5 -9 -8 -9 -9 -7 -14 -8 -9 0 0 -9 -9 -12 -11 -10 -7 -10 -8 -9 -11 -10 -6 -7 -6 -6 -12 -9 -10 -7 -13 -8 -15 -9 -7 -5 -6 -5 -12 -8 -8 -9 -10 -8 -8 -8 -8 -6 -12 -8 -10 -4 -13 -6 -12 -6 -6 -5 -11 -10 -7 -10 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-88,11,1,0,1,1,1,0,0,0,0,-98,0,6,1,16239500,0,110,0,0,16.4384,384,[110 96 6 0 0 0 0 0 0 0 0 0 -15 0 -12 2 -6 -3 -10 3 -17 0 -8 3 -11 -4 -17 -3 -12 1 -10 -5 -8 -2 -12 2 -12 -7 -15 0 -11 -2 -10 -4 -9 -7 -11 -2 -7 -1 -12 -6 -13 -3 -10 -3 -10 -3 -13 -7 -9 -5 -8 -1 0 0 -8 -6 -12 0 -13 -4 -10 -2 -14 0 -8 -6 -10 -2 -10 -4 -10 3 -12 -6 -10 0 -8 -1 -11 0 -10 -1 -7 -4 -10 4 -12 -4 -8 2 -13 -5 -5 -6 -14 1 -11 0 -7 -1 -14 0 -11 0 -14 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-88,11,1,0,1,1,1,0,0,0,0,-98,0,6,1,16250727,0,110,0,0,16.4497,384,[110 96 6 0 0 0 0 0 0 0 0 0 -10 -15 -5 -10 -4 -7 -5 -13 -3 -14 -1 -12 -3 -10 -5 -16 -6 -11 -2 -16 -8 -13 -3 -10 -5 -6 -2 -8 -1 -9 -5 -10 -3 -12 -4 -12 -2 -12 0 -9 0 -13 0 -9 1 -7 -7 -11 -1 -14 -4 -15 0 0 -6 -11 -5 -12 -3 -11 0 -7 2 -11 -5 -12 -3 -14 -9 -16 -2 -7 -7 -10 -5 -13 -7 -13 -4 -11 -4 -16 -4 -12 -9 -16 -1 -10 -7 -9 -4 -10 -7 -15 -7 -9 -7 -12 -9 -11 -5 -9 -11 -15 -8 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-88,11,1,0,1,1,1,0,0,0,0,-98,0,6,1,16262149,0,110,0,0,16.4611,384,[110 96 6 0 0 0 0 0 0 0 0 0 0 8 -1 10 -6 12 -3 14 -3 11 3 12 -2 10 -2 11 -7 11 -5 6 -4 10 -4 10 -6 13 -3 13 -5 15 -5 10 -2 12 -4 7 -2 10 -11 10 -8 10 -4 11 -8 9 -2 10 -9 6 -9 9 0 0 -8 10 -8 10 -5 12 -7 9 -3 9 -1 7 -7 9 -2 7 -2 8 -8 3 -7 12 -7 6 -3 7 -5 6 -5 16 -4 6 -3 12 -2 10 -3 10 -8 7 -6 5 -3 11 0 13 -4 8 -2 9 -2 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-85,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,16279098,0,110,0,0,16.4783,128,[110 96 6 0 0 0 0 0 0 0 0 0 -14 -2 -10 -9 -17 -5 -16 -6 -17 -6 -18 -4 -15 -6 -16 -7 -21 -8 -13 -5 -13 -7 -17 -12 -16 -8 -16 -8 -15 -3 -15 -7 -11 -10 -13 -5 -16 -10 -16 -5 -11 -10 -11 -8 -13 -4 -18 -8 -11 -7 -17 -9 0 0 -15 -5 -13 -7 -15 -1 -16 -4 -11 -3 -10 -6 -12 -5 -17 -3 -14 -3 -11 -3 -15 -5 -17 -3 -15 -6 -15 -5 -12 -5 -12 0 -19 -5 -17 -2 -15 -10 -16 -4 -14 -5 -16 -1 -19 -4 -15 -4 -13 1 -13 1 0 0 0 0 0 0 0 0 0 0 ]
